IDX,Q1,RQ1,Q2_1,Q2_2A1,Q2_2A2,Q2_2A3,Q3A1,MQ3A1_60,RQ3A1,Q3A2,MQ3A2_61,RQ3A2,Q3B,Q4A01,Q4A02,Q4A03,Q4A04,Q4A05,Q4A06,Q4A07,Q4A08,Q4A09,Q4A10,Q4A11,Q4A12,Q4A13,Q4A14,Q4A15,Q4A16,Q4A17,Q4K01,Q4K02,Q4K03,Q4K04,Q4K05,Q4K06,Q4K07,Q4K08,MQ5_1T,CQ5_1T,DAY평균,RDAY평균,Q6,Q6_1,Q7A01,Q7A02,Q7A03,Q7A04,Q7A05,Q7A06,Q7A07,Q7A08,Q7A09,Q7A10,Q7A11,Q7A12,D_MON,D_BUN,D_NAT,D_SEX,D_AGE,D_MOK,D_NUM,D_ENT
995.00,2,2.00,4,,,,364.00,,14,365.00,,13.00,,1.00,2.00,,,,,,,,,,,,,,,,1,2,,,,,,,,98.00,,,5,5,1,2,3,14,,,,,,,,,10.00,4.00,2.00,2.00,20.00,4.00,2.00,
996.00,20,4.00,2,13,,,300.00,,14,301.00,,13.00,,,2.00,,,,,,,,,,,,,,,,,2,,,,,,,,98.00,,,4,4,2,,,,,,,,,,,,10.00,4.00,2.00,2.00,40.00,2.00,4.00,
997.00,10,4.00,2,13,,,364.00,,14,365.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,8468.83,6.00,,,5,5,1,2,10,,,,,,,,,,10.00,4.00,2.00,1.00,40.00,2.00,4.00,
998.00,10,4.00,3,,,,240.00,,14,241.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,6775.07,6.00,,,5,4,13,,,,,,,,,,,,10.00,4.00,2.00,1.00,50.00,3.00,4.00,
999.00,10,4.00,2,13,,,300.00,,14,301.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,7420.00,6.00,,,5,5,2,,,,,,,,,,,,10.00,4.00,2.00,2.00,50.00,2.00,4.00,
1000.00,5,4.00,3,,,,300.00,,14,301.00,,13.00,,,,,,,,,,,,11.00,,,,,,,,,,,,6,,,7621.95,6.00,,,3,3,13,,,,,,,,,,,,10.00,4.00,2.00,1.00,30.00,3.00,4.00,
1001.00,2,2.00,4,,,,364.00,,14,365.00,,13.00,,,,,,,,,,,,,,,14.00,,,,,,,,,,7,,5081.30,6.00,,,5,2,14,10,,,,,,,,,,,10.00,4.00,97.00,1.00,20.00,4.00,2.00,
1002.00,1,1.00,3,,,,300.00,,14,301.00,,13.00,,,,,4.00,,,,,,,,,,,,,,,,,4,,,,,8200.00,6.00,,,4,3,13,,,,,,,,,,,,10.00,4.00,14.00,2.00,20.00,3.00,1.00,
1003.00,1,1.00,3,,,,364.00,,14,365.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,3000.00,5.00,,,3,3,13,,,,,,,,,,,,10.00,4.00,16.00,1.00,30.00,3.00,1.00,
1004.00,2,2.00,3,,,,364.00,,14,365.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,,98.00,,,5,2,13,1,2,,,,,,,,,,10.00,4.00,97.00,1.00,40.00,3.00,2.00,
1005.00,6,4.00,3,,,,21.00,21.00,12,22.00,22.00,11.00,1,,,,,5.00,,,,,,,,,,,,,,,,,5,,,,4400.00,6.00,200.00,2.00,4,4,13,1,,,,,,,,,,,10.00,4.00,9.00,2.00,30.00,3.00,4.00,1.00
1006.00,5,4.00,2,3,2,4,30.00,30.00,12,31.00,31.00,11.00,1,1.00,,,4.00,,,,,,,,,,,,,,1,,,4,,,,,1893.20,4.00,61.07,1.00,5,5,1,2,3,4,10,,,,,,,,10.00,4.00,1.00,2.00,20.00,2.00,4.00,1.00
