ID,D_AGE,AGE_NAME,IS_HALLYU,IS_FIT,IS_FAMILY,IS_SOLO,TOTAL_SPEND
4782,2.00,20대,0,1,0,0,5
4783,2.00,20대,1,1,0,0,5
4784,3.00,30대,1,1,0,0,4
4785,2.00,20대,1,1,0,0,5
4786,3.00,30대,1,1,0,0,5
4787,6.00,60대이상,1,1,0,0,5
4788,2.00,20대,1,1,0,0,5
4789,4.00,40대,1,1,0,0,5
4790,3.00,30대,0,1,0,0,5
4791,2.00,20대,0,1,0,0,5
4792,3.00,30대,1,1,0,0,5
4793,5.00,50대,1,1,0,0,5
4794,2.00,20대,1,0,0,0,5
4795,5.00,50대,0,0,0,0,5
4796,4.00,40대,1,0,0,0,4
4797,2.00,20대,1,1,0,0,5
4798,3.00,30대,0,1,0,0,5
4799,4.00,40대,0,1,0,1,4
4800,4.00,40대,0,0,0,0,5
4801,3.00,30대,1,0,0,0,5
4802,3.00,30대,1,1,0,1,4
4803,2.00,20대,1,1,0,1,4
4804,4.00,40대,1,0,0,0,5
4805,2.00,20대,1,1,0,0,5
4806,4.00,40대,0,0,0,0,5
4807,5.00,50대,1,0,0,0,4
4808,3.00,30대,1,1,0,0,5
4809,2.00,20대,0,1,0,0,4
4810,6.00,60대이상,1,1,0,0,5
4811,2.00,20대,0,1,1,0,4
4812,5.00,50대,1,0,0,0,4
4813,5.00,50대,1,1,0,0,5
4814,2.00,20대,0,1,0,0,5
4815,4.00,40대,0,1,0,0,5
4816,4.00,40대,1,1,0,0,5
4817,4.00,40대,1,0,0,0,4
4818,2.00,20대,1,1,0,0,5
4819,3.00,30대,1,0,0,1,5
4820,4.00,40대,1,0,0,0,4
4821,5.00,50대,0,1,0,0,5
4822,5.00,50대,1,0,0,0,4
4823,2.00,20대,0,1,0,0,5
4824,2.00,20대,1,1,0,0,5
4825,2.00,20대,1,1,0,0,5
4826,2.00,20대,0,1,0,1,5
4827,3.00,30대,1,1,0,0,4
4828,4.00,40대,1,1,1,0,5
4829,2.00,20대,1,1,0,0,4
4830,3.00,30대,1,1,0,1,5
4831,3.00,30대,1,1,0,0,5
4832,3.00,30대,0,1,0,1,5
4833,5.00,50대,0,1,0,0,5
4834,3.00,30대,1,0,0,0,5
4835,3.00,30대,0,1,0,0,5
4836,3.00,30대,1,1,0,0,4
4837,3.00,30대,0,1,1,0,5
4838,3.00,30대,1,1,0,0,5
4839,3.00,30대,0,1,0,1,4
4840,2.00,20대,1,1,0,1,5
4841,3.00,30대,0,1,1,0,5
4842,2.00,20대,1,1,1,0,4
4843,4.00,40대,1,1,0,0,4
4844,4.00,40대,0,1,0,0,4
4845,4.00,40대,0,1,0,0,5
4846,4.00,40대,1,1,0,1,5
4847,2.00,20대,1,1,1,0,4
4848,6.00,60대이상,0,1,1,0,5
4849,2.00,20대,1,1,0,0,4
4850,5.00,50대,1,0,0,0,4
4851,4.00,40대,0,1,0,0,4
4852,2.00,20대,0,1,1,0,5
4853,4.00,40대,0,1,1,0,4
4854,2.00,20대,1,1,0,0,5
4855,5.00,50대,0,1,0,0,4
4856,3.00,30대,0,0,0,1,5
4857,5.00,50대,0,1,0,1,5
4858,2.00,20대,0,1,0,0,5
4859,2.00,20대,0,1,0,1,5
4860,2.00,20대,0,1,0,0,5
4861,2.00,20대,1,1,0,0,5
4862,4.00,40대,1,1,0,1,5
4863,4.00,40대,0,1,1,0,5
4864,4.00,40대,0,1,0,1,5
4865,3.00,30대,1,1,0,0,4
4866,3.00,30대,1,1,0,1,5
4867,3.00,30대,1,1,0,0,5
4868,2.00,20대,1,1,0,0,5
4869,2.00,20대,0,1,0,0,4
4870,4.00,40대,0,1,0,1,5
4871,2.00,20대,1,1,0,0,5
4872,2.00,20대,1,1,0,0,5
4873,2.00,20대,1,1,0,1,4
4874,2.00,20대,1,1,0,0,5
4875,3.00,30대,0,1,0,1,5
4876,3.00,30대,1,1,0,0,4
4877,2.00,20대,1,1,0,1,4
4878,3.00,30대,0,0,1,0,4
4879,3.00,30대,0,0,0,0,4
4880,2.00,20대,0,1,0,1,4
4881,3.00,30대,1,1,0,1,4
4882,4.00,40대,1,1,0,0,5
4883,3.00,30대,1,1,0,0,5
4884,2.00,20대,1,0,1,0,5
4885,5.00,50대,0,1,0,0,5
4886,2.00,20대,0,1,0,0,5
4887,2.00,20대,1,1,0,0,4
4888,3.00,30대,1,1,0,0,5
4889,3.00,30대,1,1,0,0,5
4890,5.00,50대,0,1,0,0,5
4891,4.00,40대,0,1,0,0,5
4892,2.00,20대,1,1,0,0,5
4893,2.00,20대,0,1,0,1,5
4894,2.00,20대,0,1,1,0,5
4895,4.00,40대,1,1,1,0,5
4896,3.00,30대,1,1,1,0,5
4897,2.00,20대,0,1,0,0,5
4898,2.00,20대,1,0,0,0,5
4899,3.00,30대,0,1,0,0,4
4900,2.00,20대,1,1,0,0,5
4901,4.00,40대,1,1,0,0,4
4902,3.00,30대,1,1,0,0,5
4903,4.00,40대,0,1,1,0,5
4904,6.00,60대이상,0,1,0,1,5
4905,2.00,20대,0,1,0,0,5
4906,2.00,20대,1,1,0,0,5
4907,2.00,20대,1,1,0,0,4
4908,3.00,30대,0,1,0,0,5
4909,4.00,40대,1,1,0,0,5
4910,2.00,20대,1,1,0,0,5
4911,2.00,20대,1,1,0,0,5
4912,2.00,20대,0,1,0,0,5
4913,2.00,20대,0,1,0,0,4
4914,3.00,30대,0,1,0,0,4
4915,2.00,20대,1,1,0,0,4
4916,4.00,40대,0,0,0,0,5
4917,2.00,20대,1,1,0,0,5
4918,3.00,30대,1,1,0,0,4
4919,4.00,40대,0,0,0,0,5
4920,6.00,60대이상,0,1,0,0,4
4921,5.00,50대,0,1,0,0,4
4922,2.00,20대,1,0,0,0,5
4923,6.00,60대이상,1,1,0,0,5
4924,2.00,20대,0,1,0,0,5
4925,2.00,20대,1,1,1,0,5
4926,2.00,20대,0,1,0,1,4
4927,3.00,30대,1,1,1,0,4
4928,3.00,30대,1,0,0,0,5
4929,2.00,20대,0,1,0,0,5
4930,2.00,20대,1,1,0,0,5
4931,2.00,20대,1,1,0,0,5
4932,3.00,30대,1,1,0,0,5
4933,4.00,40대,1,1,0,0,5
4934,3.00,30대,1,1,1,0,5
4935,2.00,20대,0,0,0,0,4
4936,3.00,30대,1,1,0,1,4
4937,4.00,40대,1,0,0,0,5
4938,3.00,30대,1,1,0,0,5
4939,3.00,30대,1,1,1,0,5
4940,3.00,30대,1,1,0,0,5
4941,2.00,20대,0,1,0,0,4
4942,2.00,20대,0,1,0,0,4
4943,2.00,20대,0,1,0,1,5
4944,3.00,30대,0,1,0,0,5
4945,2.00,20대,0,1,0,0,5
4946,4.00,40대,1,1,0,0,5
4947,3.00,30대,1,0,0,1,5
4948,3.00,30대,0,1,0,0,5
4949,6.00,60대이상,0,1,1,0,5
4950,2.00,20대,0,1,0,0,4
4951,2.00,20대,1,1,0,0,5
4952,4.00,40대,0,1,0,0,5
4953,2.00,20대,0,1,1,0,5
4954,4.00,40대,1,1,0,0,5
4955,2.00,20대,1,1,0,1,5
4956,4.00,40대,0,1,0,0,5
4957,5.00,50대,1,1,1,0,4
4958,2.00,20대,1,1,0,1,5
4959,2.00,20대,0,1,0,0,4
4960,3.00,30대,0,1,0,0,5
4961,4.00,40대,0,1,0,0,5
4962,4.00,40대,1,1,0,0,5
4963,3.00,30대,0,1,0,0,5
4964,3.00,30대,0,1,1,0,5
4965,2.00,20대,1,1,0,0,5
4966,2.00,20대,1,1,1,0,5
4967,3.00,30대,0,1,0,0,5
4968,4.00,40대,0,1,0,0,5
4969,3.00,30대,1,1,1,0,5
4970,2.00,20대,1,1,1,0,5
4971,2.00,20대,0,1,0,0,3
4972,4.00,40대,1,1,0,0,5
4973,4.00,40대,1,1,0,1,5
4974,2.00,20대,0,0,1,0,5
4975,2.00,20대,0,1,0,1,3
4976,2.00,20대,0,1,0,1,5
4977,3.00,30대,1,1,0,0,5
4978,2.00,20대,1,1,0,0,5
4979,1.00,10대,1,1,0,0,5
4980,5.00,50대,1,1,0,0,4
4981,2.00,20대,0,1,1,0,5
4982,3.00,30대,0,1,0,1,5
4983,5.00,50대,1,1,0,0,5
4984,2.00,20대,1,1,0,1,4
4985,4.00,40대,1,1,0,0,4
4986,2.00,20대,0,1,0,0,5
4987,2.00,20대,0,1,0,0,5
4988,3.00,30대,0,1,0,1,5
4989,2.00,20대,0,1,0,0,5
4990,4.00,40대,0,1,0,0,4
4991,6.00,60대이상,0,1,0,0,5
4992,6.00,60대이상,1,1,0,0,5
4993,5.00,50대,0,1,1,0,5
4994,5.00,50대,0,0,0,1,5
4995,2.00,20대,0,1,0,0,5
4996,4.00,40대,1,1,1,0,5
4997,3.00,30대,0,1,0,1,5
4998,4.00,40대,1,1,1,0,4
4999,1.00,10대,0,1,0,0,4
5000,4.00,40대,0,1,0,1,5
5001,2.00,20대,0,1,0,0,5
5002,4.00,40대,1,1,0,1,5
5003,4.00,40대,1,1,0,0,5
5004,1.00,10대,0,1,0,0,5
5005,5.00,50대,1,1,1,0,5
5006,5.00,50대,1,1,0,0,5
5007,6.00,60대이상,1,0,0,1,5
5008,4.00,40대,1,1,0,0,4
5009,2.00,20대,0,1,1,0,5
5010,3.00,30대,1,1,1,0,5
5011,2.00,20대,0,1,0,0,5
5012,3.00,30대,1,1,1,0,5
5013,3.00,30대,0,0,1,0,5
5014,6.00,60대이상,0,1,0,0,5
5015,2.00,20대,0,1,1,0,3
5016,4.00,40대,0,1,0,1,5
5017,4.00,40대,1,1,0,0,4
5018,5.00,50대,1,0,1,0,5
5019,3.00,30대,1,1,0,0,5
5020,3.00,30대,0,1,0,1,5
5021,5.00,50대,1,1,0,0,4
5022,5.00,50대,0,0,1,0,4
5023,3.00,30대,1,1,0,1,5
5024,2.00,20대,1,1,0,0,5
5025,3.00,30대,1,1,1,0,4
5026,2.00,20대,1,1,0,0,5
5027,5.00,50대,1,1,0,0,5
5028,4.00,40대,1,1,1,0,4
5029,6.00,60대이상,0,1,1,0,5
5030,3.00,30대,0,1,0,0,5
5031,5.00,50대,0,1,0,0,4
5032,2.00,20대,0,1,0,0,5
5033,2.00,20대,0,1,0,0,4
5034,3.00,30대,1,1,0,0,5
5035,2.00,20대,0,1,0,1,4
5036,2.00,20대,1,1,0,0,5
5037,5.00,50대,1,0,0,0,5
5038,2.00,20대,0,1,1,0,5
5039,4.00,40대,1,1,0,1,5
5040,2.00,20대,1,1,0,0,5
5041,2.00,20대,0,1,0,1,5
5042,2.00,20대,0,1,1,0,5
5043,2.00,20대,1,1,1,0,3
5044,5.00,50대,1,0,0,0,5
5045,6.00,60대이상,1,1,0,0,5
5046,3.00,30대,0,1,0,0,5
5047,2.00,20대,1,1,1,0,5
5048,3.00,30대,1,1,0,0,5
5049,2.00,20대,0,1,1,0,5
5050,2.00,20대,1,1,1,0,4
5051,2.00,20대,0,1,0,0,5
5052,2.00,20대,1,1,0,0,5
5053,5.00,50대,0,1,0,0,5
5054,5.00,50대,1,1,1,0,5
5055,5.00,50대,0,1,0,0,4
5056,3.00,30대,0,0,1,0,5
5057,2.00,20대,1,1,0,0,4
