YEAR,ID,WEIGHT,D_NAT,D_SEX,D_AGE,AGE_GROUP_NAME,YOUNG_GEN,TYP,IS_HALLYU,TOTAL_SPEND
2019,903003,1.2666,1.00,2,3,30대,1,4,0,780.12
2019,801046,3.1741,1.00,1,2,20대,1,4,0,421.82
2019,801047,2.6391,1.00,2,2,20대,1,4,0,476.84
2019,801402,1.8361,1.00,2,4,40대,0,3,0,1788.15
2019,805004,1.1459,1.00,2,5,50대,0,4,0,596.05
2019,805011,2.6391,1.00,2,2,20대,1,4,0,944.51
2019,701042,1.8535,1.00,2,3,30대,1,5,0,997.60
2019,701043,1.6260,1.00,1,6,60대이상,0,2,0,554.22
2019,701044,1.4211,1.00,2,5,50대,0,4,0,554.22
2019,500556,2.2002,1.00,2,3,30대,1,3,0,842.90
2019,500557,1.1525,1.00,2,2,20대,1,3,0,475.25
2019,500558,2.1338,1.00,2,5,50대,0,4,0,703.91
2019,500595,1.1525,1.00,2,1,10대(15-19세),1,2,0,1228.48
2019,500596,1.3766,1.00,1,1,10대(15-19세),1,4,0,546.99
2019,500597,1.1525,1.00,2,2,20대,1,3,0,708.39
2019,500598,2.1338,1.00,2,5,50대,0,5,0,693.15
2019,500599,2.2002,1.00,2,3,30대,1,4,0,869.80
2019,500963,1.8106,1.00,1,3,30대,1,2,0,555.95
2019,500965,1.1525,1.00,2,2,20대,1,3,0,833.93
2019,500966,1.8106,1.00,1,3,30대,1,2,0,708.39
2019,500972,1.1525,1.00,2,2,20대,1,5,0,807.03
2019,500985,2.1338,1.00,2,5,50대,0,1,0,385.58
2019,501012,2.1338,1.00,2,5,50대,0,5,0,1345.05
2019,501013,2.1338,1.00,2,6,60대이상,0,5,0,502.15
2019,501014,1.1525,1.00,2,2,20대,1,3,0,1425.75
2019,501015,2.1670,1.00,1,5,50대,0,2,0,313.85
2019,400188,1.3715,1.00,2,2,20대,1,4,0,711.87
2019,400189,1.5482,1.00,1,2,20대,1,2,0,540.66
2019,400643,1.8803,1.00,1,5,50대,0,5,0,630.77
2019,300870,3.3258,1.00,2,2,20대,1,4,0,361.79
2019,300922,2.6720,1.00,1,1,10대(15-19세),1,4,0,745.91
2019,300930,3.3258,1.00,2,2,20대,1,3,0,401.99
2019,205821,0.9979,1.00,2,3,30대,1,4,0,633.56
2019,205822,0.9979,1.00,2,3,30대,1,4,0,982.47
2019,205823,1.6281,1.00,1,2,20대,1,4,0,826.38
2019,501016,2.1670,1.00,1,5,50대,0,4,0,16500.00
2019,400187,1.7449,1.00,2,3,30대,1,5,0,684.84
2019,1201072,1.8654,1.00,1,5,50대,0,1,0,355.68
2019,1201080,1.4725,1.00,1,2,20대,1,4,0,802.56
